발행인,시도,시구,동읍,상세주소,사업용도,사업용도세부종목,브릿지론/본PF
지아이비문정,서울특별시,송파구,문정동,문정,용도복합,도시개발,0
지아이비유천,대전광역시,중구,유천동,340-1번지,공동주택,-,0
엔에이치자양,서울특별시,광진구,자양동,680-63번지,공동주택,-,0
엔에이치자양,서울특별시,광진구,자양동,680-63번지,공동주택,-,0
엔에이치자양,서울특별시,광진구,자양동,680-63번지,공동주택,-,0
엔에이치자양,서울특별시,광진구,자양동,680-63번지,공동주택,-,0
엔에이치자양,서울특별시,광진구,자양동,680-63번지,공동주택,-,0
엔에이치자양,서울특별시,광진구,자양동,680-63번지,공동주택,-,0
엔에이치자양,서울특별시,광진구,자양동,680-63번지,공동주택,-,0
엔에이치자양,서울특별시,광진구,자양동,680-63번지,공동주택,-,0
엔에이치자양,서울특별시,광진구,자양동,680-63번지,공동주택,-,0
엔에이치자양,서울특별시,광진구,자양동,680-63번지,공동주택,-,0
엔에이치자양,서울특별시,광진구,자양동,680-63번지,공동주택,-,0
지아이비마장,경기도,이천시,마장면,장암리,산업시설,물류,0
지아이비마장,경기도,이천시,마장면,장암리,산업시설,물류,0
지아이비마장,경기도,이천시,마장면,장암리,산업시설,물류,0
지아이비마장,경기도,이천시,마장면,장암리,산업시설,물류,0
비욘드스카이제오차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비욘드스카이제오차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비욘드스카이제오차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비욘드스카이제오차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비욘드스카이제오차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비욘드스카이제오차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비욘드스카이제오차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비욘드스카이제오차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비욘드스카이제오차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비욘드스카이제오차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비욘드스카이제오차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비욘드스카이제오차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
에테청담하나제일차,서울특별시,강남구,청담동,106-7번지,공동주택,-,0
에테청담하나제일차,서울특별시,강남구,청담동,106-7번지,공동주택,-,0
에테청담하나제일차,서울특별시,강남구,청담동,106-7번지,공동주택,-,0
에테청담하나제일차,서울특별시,강남구,청담동,106-7번지,공동주택,-,0
에테청담하나제일차,서울특별시,강남구,청담동,106-7번지,공동주택,-,0
에테청담하나제일차,서울특별시,강남구,청담동,106-7번지,공동주택,-,0
에테청담하나제일차,서울특별시,강남구,청담동,106-7번지,공동주택,-,0
에테청담하나제일차,서울특별시,강남구,청담동,106-7번지,공동주택,-,0
엔에이치용인,경기도,용인시,처인구,원삼면,산업시설,-,0
엔에이치용인,경기도,용인시,처인구,원삼면,산업시설,-,0
엔에이치용인,경기도,용인시,처인구,원삼면,산업시설,-,0
엔에이치용인,경기도,용인시,처인구,원삼면,산업시설,-,0
엔에이치용인,경기도,용인시,처인구,원삼면,산업시설,-,0
엔에이치용인,경기도,용인시,처인구,원삼면,산업시설,-,0
엔에이치용인,경기도,용인시,처인구,원삼면,산업시설,-,0
엔에이치용인,경기도,용인시,처인구,원삼면,산업시설,-,0
엔에이치용인,경기도,용인시,처인구,원삼면,산업시설,-,0
엔에이치용인,경기도,용인시,처인구,원삼면,산업시설,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
지아이비경주,경상북도,경주시,황성동,45번지,공동주택,-,0
