발행인,신용보강기관종류1,신용보강기관명1,신용보강형태1,시공사
비욘드감정제오차,금융기관,한국투자증권,유동화증권 매입보장,한화
에스제이강북제삼차,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,대원
에스제이강북제이차,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,대원
에이치알케이제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
에코시티신천제이차,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,미정
에코시티제일차,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,미정
엠에이자양5구역,금융기관,미래에셋증권(주),유동화증권 매입보장,호반건설
와이비라시에라,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,안강건설
위드지엠제삼차,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,(주)소노인터내셔널
이터널과천제일차,금융기관,한국투자증권,유동화증권 매입보장,지에스건설
이터널과천제일차,금융기관,한국투자증권,유동화증권 매입보장,지에스건설
제이온지금,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
제이온지금,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
주파수초읍제일차,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,한동건설
케이아이에스대체제십팔차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
케이아이에스드림제십삼차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
케이티비비전제오차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
케이피학성제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
판타지아제일차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
하이레전드다이버제구차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,삼정기업
하이레전드다이버제십이차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,미정
하이터틀제일차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,하우텍씨엔알건설(주)
골드로드제사차,금융기관,유진투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
글로리가재제일차,금융기관,한국투자증권,유동화증권 매입보장,효성중공업
글로리가재제일차,금융기관,한국투자증권,유동화증권 매입보장,효성중공업
뉴스타헌인제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
루트로닉제일차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,롯데건설
부산미남제이차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,효성중공업
브랜뉴평택,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,효성중공업
비욘드하색제일차,금융기관,한국투자증권,유동화증권 매입보장,해당없음
빅하우스제칠차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,롯데건설
아마란스제일차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,롯데건설
아마란스제일차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,롯데건설
아이비헌인제일차,금융기관,아이비케이투자증권,SPC 또는 유동화증권에 대한 신용보강,롯데건설
에스에프투관수,금융기관,현대차증권,유동화증권 매입보장,현대엔지니어링
에스엘제사차,금융기관,경남은행,SPC 또는 유동화증권에 대한 신용보강,디엘이앤씨 주식회사
에스와이선화,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,(주)에이치제이중공업
에스와이선화,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,(주)에이치제이중공업
에이블공평제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
에이블마석제일차,금융기관,케이비증권,유동화증권 매입보장,신세계건설
에이치디벨류제이차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
에이치에스에프제이십칠차,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
에프엔파주제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
엔에이치헌인제삼차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,롯데건설
엠에이선유,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
여수베스트제일차,금융기관,이베스트투자증권,유동화증권 매입보장,쌍용건설
제이케이동두천,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
